축제명,국가,도시/지역,시기,주제,특징,공식/정보 사이트,개최일
Shenzhen & Hong Kong Bi-city Biennale of Urbanism\Architecture,중국/홍콩,선전·홍콩,12월 1월,예술/디자인,도시·건축 현대 디자인 대축제,https://www.szhkbiennale.org,12/13 ~ 03/01 
Sumba Pasola Festival,인도네시아,숨바섬,2월 3월,전통/스포츠,말 위 창던지기 부족전통제,https://www.indonesia.travel,03/10 ~ 03/20
Incheon International Rock Festival,대한민국,부산,8월,음악/락,국내외 락음악 대표 야외제,https://pentaport.co.kr/,08/09 ~ 08/11
Taipei International Book Exhibition,대만,타이베이,1월 2월,도서/문화,아시아 최대 국제도서전,https://www.tibe.org.tw,01/29 ~ 02/03
Suwon Hwaseong Cultural Festival,대한민국,수원,10월,전통/역사,세계유산 수원화성 테마행사,https://www.swcf.or.kr,10/04 ~ 10/06 
Hyderabad Literary Festival,인도,하이데라바드,1월,문학/종합,남인도 대표 국제문학축제,https://www.hydlitfest.org,01/24 ~ 01/26
Japan Media Arts Festival,일본,도쿄,2월,디지털/미디어아트,만화·인터랙티브 미디어예술제,https://j-mediaarts.jp,02/07 ~ 02/14
Macau Arts Festival,마카오,마카오,5월,예술/종합,연극·무용·전시 등 종합 아트축제,https://www.icm.gov.mo/fam,05/03 ~ 06/07
Tainan International Chihsi Arts Festival,대만,타이난,8월,예술/전통,칠월칠석 야외 예술공연,https://www.twtainan.net,08/01 ~ 08/03
Haeundae Sand Festival,대한민국,부산,5월,해변/예술,모래조각ㆍ퍼포먼스 해변 예술제,https://sand.busan.go.kr,05/16 ~ 05/19
Cyprus Wine Festival,키프로스,리마솔,8월,음식/와인,지중해 와인 시음+공연,https://www.limassolmunicipal.com.cy,08/23 ~ 09/01 
Yangon Water Festival (Thingyan),미얀마,양곤·전국,4월,물/전통,버마 신년 물뿌리기,https://www.myanmar.travel,04/13 ~ 04/16
Hong Kong International Film Festival,홍콩,홍콩,3월 4월,영화,아시아 대표 국제영화제,https://www.hkiff.org.hk,03/30 ~ 04/10
Nanning International Folk Song Art Festival,중국,난닝,9월,음악/민요,아시아 민속음악 국제경연,https://www.nnfolk.com,09/21 ~ 09/25 
Taiwan Cycling Festival,대만,전국,9월 10월 11월,스포츠/자전거,대만 자전거 대축제,https://eng.taiwan.net.tw,10/19 ~ 11/10 
Osaka Asia Film Festival,일본,오사카,3월,영화,동아시아 영상컨텐츠 대표제,https://www.oaff.jp,03/07 ~ 03/14
Phuket King’s Cup Regatta,태국,푸껫,12월,요트/스포츠,아시아 최고 권위 요트대회,https://www.kingscup.com,11/29 ~ 12/07 
Boryeong Mud Festival,대한민국,보령,7월 8월,체험,머드 놀이와 글로벌 참여,https://www.mudfestival.or.kr/en/festival/main.html,07/19 ~ 08/04
Gion Matsuri,일본,교토,7월,전통,천년 전통 행렬과 다채로운 행사,https://www.kyoto-gionfestival.jp,07/01 ~ 07/31
Songkran Festival,태국,전국,4월,물축제,태국 새해 맞이 물축제,https://www.tourismthailand.org,04/13 ~ 04/15
Harbin Ice Festival,중국,하얼빈,1월 2월,겨울,세계 최대 얼음 축제,https://www.icefestivalharbin.com,01/05 ~ 02/29
Yi Peng Lantern Festival,태국,치앙마이,11월,등불축제,수천 개 등불 날리기,https://www.yipengchiangmai.com/,11/14 ~ 11/16 
Cherry Blossom Festival,일본,전국,3월 4월,꽃축제,벚꽃 놀이 명소,https://www.japan-guide.com/cherry-blossom/,03/20 ~ 04/10
Jaisalmer Desert Festival,인도,자이살메르,2월,전통/퍼포먼스,사막 예술과 전통춤,https://www.tourmyindia.com,02/14 ~ 02/16
Dragon Boat Festival,중국,전국,6월,전통,용선 경주 및 용선 축제,https://www.chinahighlights.com,06/02
Lantern Festival,대만,핑시,2월,등불,천등 날리기 축제,https://www.taiwan.net.tw,02/12
Nagasaki Lantern Festival,일본,나가사키,2월,등불,중국 음력설 축제,https://www.nagasaki-tabinet.com,02/01 ~ 02/15
Loy Krathong Festival,태국,전국,11월,등불/전통,물에 등불 띄우기 행사,https://www.tourismthailand.org,날짜 미정
Da Nang Fireworks Festival,베트남,다낭,6월 7월,불꽃놀이,국제 불꽃놀이 대회,https://danang.gov.vn,날짜 미정
Awa Odori Festival,일본,도쿠시마,8월,춤/전통,일본 전통 댄스축제,https://awaodori.tokushima.jp,08/12 ~ 08/15 
Magh Mela,인도,프라야그라지,1월 2월,종교/전통,힌두교 대형 성수의식,https://www.kumbh.gov.in/magh-mela,01/14 ~ 02/01
Pushkar Camel Fair,인도,푸쉬카르,10월 11월,전통/시장,낙타 경매 및 문화 축제,https://pushkarfair.in,날짜 미정
Bali Arts Festival,인도네시아,발리,6월 7월,예술,전통 공연과 전시,https://www.baliartsfestival.com,06/15 ~ 07/15 
Chinese New Year,중국,전국,1월 2월,전통,음력 설 축제,https://www.travelchinaguide.com,01/16 ~ 02/05
Hibiscus Festival,홍콩,홍콩,7월 8월,꽃/문화,하이난 꽃 축제,https://www.discoverhongkong.com,07/15 ~ 08/10
Mid-Autumn Festival,중국,전국,9월 10월,전통/등불,달과 등불 축제,https://www.travelchinaguide.com,09/29 ~ 10/07 
Taipei Lantern Festival,대만,타이베이,2월,등불,대만 최대 등불 축제,https://www.taipei.gov.tw,02/15 ~ 02/28
King's Cup Elephant Polo Tournament,태국,치앙라이,2월,스포츠/문화,코끼리 폴로 대회,https://www.kingscup.org,날짜 미정
Thaipusam,말레이시아,쿠알라룸푸르,1월 2월,종교,힌두교 타이푸삼 축제,https://www.tourism.gov.my,01/28
Wangfujing Street Food Festival,중국,베이징,9월,음식,거리 음식 축제,https://www.beijingtravel.com,09/10 ~ 09/20 
Chingay Parade,싱가포르,전국,1월 2월,퍼레이드,중국 음력정월대보름 퍼레이드,https://www.visitsingapore.com,02/05
Nara Tokae Lantern Festival,일본,나라,8월,등불,수천 개의 등불 행사,https://narashikanko.jp,08/10 ~ 08/15 
Busan International Film Festival,대한민국,부산,10월,영화,아시아 최대 영화제 중 하나,https://www.biff.kr,10/02 ~ 10/11
Onbashira Festival,일본,나가노,4년마다 4월,전통,거대한 장작 운반 축제,https://onbashira.jp,04/01 ~ 04/30 
Hue Festival,베트남,후에,4월,문화,전통 음악과 무용,https://www.vietnam.travel,04/15 ~ 04/20 
Subak Festival,인도네시아,발리,7월 8월,농업/전통,전통 농업 의식 축제,https://www.baliindia.org,07/15 ~ 08/15 
Hsinchu City Fireworks Festival,대만,신주,10월,불꽃놀이,국제 불꽃놀이 대회,https://www.hsinchu.gov.tw,10/15 ~ 10/20 
Tết Nguyên Đán,베트남,전국,1월 2월,전통,베트남 구정 설 축제,https://www.vietnam.travel,01/20 ~ 02/02
Mazu Pilgrimage,대만,전국,4월,종교,마조 신앙 의식,https://www.taiwan.net.tw,04/15 ~ 04/25 
Chengdu International Panda Festival,중국,청두,9월,동물/문화,팬더 테마 축제,https://www.chengdu.gov.cn,09/12 ~ 09/18 
Bangkok International Film Festival,태국,방콕,11월,영화,국제 영화제,https://bangkokfilm.org,11/10 ~ 11/18 
Nagasaki Kunchi Festival,일본,나가사키,10월,전통,대형 민속 축제,https://www.nagasaki-tabinet.com,10/07 ~ 10/09
Mahakumbh Mela,인도,전국,12년마다,종교,세계 최대 순례 축제,https://www.kumbh.gov.in,날짜 미정
Taipei International Flora Expo,대만,타이베이,11월,꽃/문화,대형 꽃 박람회,https://www.tiflo.com.tw,11/01 ~ 11/30 
I Love Seoul Festival,대한민국,서울,5월,음악/문화,서울 대표 봄 축제,https://www.visitseoul.net,05/03 ~ 05/12
Nagoya Festival,일본,나고야,10월,전통,무사 행렬과 퍼레이드,https://nagoya-info.jp,10/15 ~ 10/17 
Singapore Food Festival,싱가포르,싱가포르,7월 8월,음식,싱가포르 대표미식 체험,https://www.visitsingapore.com,07/05 ~ 08/10 
Great Singapore Sale,싱가포르,싱가포르,6월 7월,쇼핑,대규모 할인행사,https://www.visitsingapore.com,06/15 ~ 07/15 
Penang George Town Festival,말레이시아,페낭,7월 8월,예술/문화,현대예술/퍼포먼스,https://georgetownfestival.com,07/01 ~ 08/20 
Mount Fuji Climbing Season,일본,야마나시,7월 9월,체험/스포츠,후지산 등산 시즌,https://www.japan.travel,07/01 ~ 09/10 
Kandy Esala Perahera,스리랑카,캔디,7월 8월,퍼레이드,사원 행렬·불꽃,https://www.srilanka.travel,07/27 ~ 08/01 
Cheung Chau Bun Festival,홍콩,청차우섬,4월 5월,음식/퍼레이드,번신 인형 의식,https://www.discoverhongkong.com,05/01 ~ 05/05
Busan Sea Festival,대한민국,부산,8월,해양/음악,해변 중앙축제,https://www.busan.go.kr,08/02 ~ 08/05 
Jeonju Hanji Culture Festival,대한민국,전주,5월,전통/문화,한지 공예 체험,https://www.hanjifestival.or.kr,05/05 ~ 05/10
Fukuoka Dontaku Port Festival,일본,후쿠오카,5월,퍼레이드/문화,대규모 시민 퍼레이드,https://www.dontaku.or.jp,05/03 ~ 05/05
Kolkata Book Fair,인도,콜카타,1월 2월,문화/교육,세계 최대 도서축제,https://www.kolkatabookfair.net,01/15 ~ 02/06
Kochi-Matsuri,일본,고치,8월,전통/퍼레이드,요사코이 춤 축제,https://www.city.kochi.kochi.jp/soshiki/86/,08/09 ~ 08/12 
Taipei Arts Festival,대만,타이베이,8월 9월,예술/공연,현대 공연예술 축제,https://www.tfaf.taipei,08/20 ~ 09/10 
Taichung Jazz Festival,대만,타이중,10월,음악,국제 재즈 페스티벌,https://www.taichungjazzfestival.com.tw,10/01 ~ 10/07 
Sumida River Fireworks Festival,일본,도쿄,7월,불꽃놀이,도쿄 여름 불꽃놀이,https://www.sumidagawa-hanabi.com,07/28
Seoul Lantern Festival,대한민국,서울,11월,등불/문화,청계천 등불 전시,https://festivalseoul.or.kr,11/01 ~ 11/15 
George Town Literary Festival,말레이시아,페낭,11월,문학/문화,동남아 최대 문학축제,https://www.georgetownlitfest.com,11/10 ~ 11/20 
Asia Song Festival,대한민국,서울,10월,음악,아시아 유명 음악인의 공연,https://www.asiasongfestival.com,10/05 ~ 10/07 
Ulaanbaatar Eagle Festival,몽골,울란바토르,10월,전통/동물,황금독수리 사냥 시연,https://www.goyo.travel,10/10 ~ 10/14 
Kitaro Matsuri,일본,돗토리,8월,전통/캐릭터,만화 테마 축제,https://www.sakaiminato.net,08/20 ~ 08/25 
Macau International Fireworks Display,마카오,마카오,9월 10월,불꽃놀이,국제 불꽃 대회,https://fireworks.macaotourism.gov.mo,09/20 ~ 10/01 
Gwangju Biennale,대한민국,광주,9월 10월 11월,예술,아시아 대표 현대미술제,https://www.gwangjubiennale.org,09/25 ~ 11/10 
Jakarta Fair,인도네시아,자카르타,6월 7월,상업/문화,대규모 무역·문화축제,https://www.jakartafair.co.id,06/10 ~ 07/05 
Busan Fireworks Festival,대한민국,부산,10월,불꽃놀이,광안리 해변 불꽃축제,https://www.bff.or.kr,10/20
Jeju Fire Festival,대한민국,제주,3월,전통/불,정월대보름 들불놀이,https://www.jejusi.go.kr,03/05 ~ 03/07
Singapore Night Festival,싱가포르,시티,8월,야간/예술,야간 예술 퍼포먼스,https://www.nightfestival.sg,08/10 ~ 08/20 
Jeju Canola Flower Festival,대한민국,제주,4월,꽃,유채꽃 명소 체험,https://www.visitjeju.net,04/10 ~ 04/25
Manila Fête de la Musique,필리핀,마닐라,6월,음악,프랑스 기원 대형 음악제,https://www.facebook.com/FetePH,06/15 ~ 06/21 
Kyoto Hanatouro,일본,교토,3월·12월,등불,절경 산책로 등불 축제,https://www.hanatouro.jp,03/10 ~ 03/17
Hong Kong Wine & Dine Festival,홍콩,홍콩,10월 11월,음식/와인,세계 미식 체험,https://www.winedinefestival.discoverhongkong.com,10/15 ~ 11/05 
Changwon K-POP World Festival,대한민국,창원,10월,음악,K팝 커버댄스 경연,https://www.kpopworldfestival.com,10/20 ~ 10/25 
Busan One Asia Festival,대한민국,부산,10월,음악/문화,K컬처 한류행사,https://bof.or.kr,10/15 ~ 10/18 
Taiwan International Balloon Festival,대만,타이동,7월 8월,공연/체험,열기구 체험 및 퍼포먼스,https://balloontaiwan.taitung.gov.tw,07/25 ~ 08/20 
Osaka Tenjin Matsuri,일본,오사카,7월,전통/퍼레이드,물 위 행렬·불꽃,https://www.tenjinmatsuri.com,07/22 ~ 07/24
Jeonju Bibimbap Festival,대한민국,전주,10월,음식,한국 대표 비빔밥 축제,https://www.bibimbapfest.com,10/05 ~ 10/08 
Seoul Kimchi Making & Sharing Festival,대한민국,서울,11월,음식/문화,김장 체험·나눔,https://www.kimchifestival.kr,11/05 ~ 11/10 
Asia Rainbow TV Awards,마카오,마카오,5월,미디어/예술,아시아 방송 시상식,https://www.artva.com,05/15 
Japan Sakura Festival,일본,전국,3월 4월,꽃,벚꽃 명소 소개,https://www.japan.travel/en/uk/inspiration/sakura/,03/20 ~ 04/10
India International Mango Festival,인도,델리,7월,음식,국제 망고 품평회,https://www.delhitourism.gov.in,07/10 ~ 07/15
Singapore River Festival,싱가포르,싱가포르,7월 8월,문화,리버 퍼레이드·공연,https://www.srf.sg,07/15 ~ 08/05 
Naha Tug-of-War Festival,일본,오키나와,10월,전통/체험,거대 줄다리기,https://www.naha-otsunahiki.org,10/10 ~ 10/12 
Ulsan Whale Festival,대한민국,울산,5월,해양/문화,고래 테마 퍼레이드,https://www.ulsan.go.kr/whale,05/10 ~ 05/15
Kobe Luminarie,일본,고베,12월,등불/예술,도심 야간 조명 설치,https://www.kobe-luminarie.jp,12/01 ~ 12/15 
Taiwan Lantern Festival,대만,전국,2월,등불/전통,정월대보름 등불 대축제,https://taiwan.net.tw,02/15 ~ 02/28
Cheongdo Bullfighting Festival,대한민국,청도,3월,전통/동물,소싸움 대회,https://bull.cheongdo.go.kr,03/15 ~ 03/18 
Hakata Gion Yamakasa,일본,후쿠오카,7월,전통/퍼레이드,화려한 수레 운반,https://www.hakatayamakasa.com,07/10 ~ 07/15
Vesak Day Celebration,싱가포르,싱가포르,5월,종교/문화,불교 부처님 오신날 대축제,https://www.buddhistfederation.sg,05/05
Komodo Festival,인도네시아,플로레스,3월,관광/체험,코모도 드래곤 관광축제,https://www.floreskomodotourism.com,03/10 ~ 03/20
Lunar New Year Festival,베트남,전국,1월 2월,전통,음력 설맞이 대축제,https://www.vietnam.travel,01/20 ~ 02/05
Tomorrowland,벨기에,Boom,7월,음악(EDM),세계 최대 일렉트로닉 페스티벌,https://www.tomorrowland.com,07/25 ~ 07/30
Glastonbury Festival,영국,섬머싯,6월,음악,세계적 뮤직·예술 축제,https://www.glastonburyfestivals.co.uk,06/26 ~ 06/30
La Tomatina,스페인,부뇰,8월 마지막 주 수요일,음식,토마토 던지기 축제,https://latomatina.info,08/27
Sziget Festival,헝가리,부다페스트,8월,음악/종합,유럽 최대 음악·문화 페스티벌,https://szigetfestival.com,08/08 ~ 08/14 
Oktoberfest,독일,뮌헨,9월 10월,음식/음악,세계 최대 맥주 축제,https://www.oktoberfest.de,09/20 ~ 10/05 
Venice Carnival,이탈리아,베니스,2월 3월,가면/전통,가면무도·퍼레이드,https://www.carnevale.venezia.it,02/15 ~ 02/25
Edinburgh Fringe,영국,에든버러,8월,공연예술,세계 최대 공연예술제,https://www.edfringe.com,08/12 ~ 08/26 
San Fermin,스페인,팜플로나,7월,퍼레이드,유명 소몰이 축제,https://www.pamplonafiesta.com,07/06 ~ 07/14
Roskilde Festival,덴마크,로스킬데,6월 7월,음악,북유럽 대형 록 페스티벌,https://www.roskilde-festival.dk,06/27 ~ 07/05
Ultra Europe,크로아티아,스플리트,7월,음악(EDM),유명 EDM 페스티벌,https://ultraeurope.com,07/10 ~ 07/13
Primavera Sound,스페인,바르셀로나,6월,음악,최신 인디·록 페스티벌,https://www.primaverasound.com,06/01 ~ 06/05
Isle of Wight Festival,영국,아일오브와이트,6월,음악,유서 깊은 대형 음악제,https://isleofwightfestival.com,06/13 ~ 06/16
Notting Hill Carnival,영국,런던,8월,퍼레이드,카리브 문화 대형 퍼레이드,https://nhcarnival.org,08/23 ~ 08/25 
Boom Festival,포르투갈,이다냐아노바,7월,음악/예술,트랜스·웰니스·예술,https://boomfestival.org,07/24 ~ 07/30
Open'er Festival,폴란드,그디니아,7월,음악,폴란드 대표 뮤직페스티벌,https://opener.pl,07/01 ~ 07/05
Benicàssim Festival (FIB),스페인,베니카심,7월,음악,지중해 해변 음악제,https://fiberfib.com,07/15 ~ 07/21
Creamfields,영국,체셔,8월,음악(EDM),국제적 일렉트로닉 페스티벌,https://creamfields.com,08/20 ~ 08/25 
Hellfest,프랑스,클리송,6월,음악(메탈),메탈/록 전문 대형 페스티벌,https://www.hellfest.fr,06/15 ~ 06/20
Les Vieilles Charrues,프랑스,카라,7월,음악,프랑스 최대 야외 음악제,https://www.vieillescharrues.asso.fr,07/18 ~ 07/22
Carnival of Binche,벨기에,빈슈,2월,전통/가면,유네스코 등재 고유 가면카니발,https://www.carnavaldebinche.be,02/07 ~ 02/10
Rock am Ring,독일,뉘르부르크,6월,음악,유럽 대표 록 페스티벌,https://www.rock-am-ring.com,06/06 ~ 06/08
Exit Festival,세르비아,노비사드,7월,음악,유럽 최고 인디/일렉트로닉/락,https://www.exitfest.org,07/05 ~ 07/09
Lollapalooza Berlin,독일,베를린,9월,음악,글로벌 인디팝 페스티벌,https://www.lollapaloozade.com,09/01 ~ 09/03
Montreux Jazz Festival,스위스,몽트뢰,7월,음악(재즈),세계적 재즈축제,https://www.montreuxjazzfestival.com,07/04 ~ 07/14
Rheinkirmes,독일,뒤셀도르프,7월,전통/놀이,라인강 대규모 놀이축제,https://www.rheinkirmes-duesseldorf.de,07/14 ~ 07/21
Fiesta de San Isidro,스페인,마드리드,5월,전통,마드리드 대표 수호성인 도시축제,https://www.madrid.es,05/10 ~ 05/15
Ferias de Malaga,스페인,말라가,8월,전통/음식,안달루시아 대표 여름축제,https://feria.malaga.eu/,08/12 ~ 08/18 
Las Fallas,스페인,발렌시아,3월,불축제/퍼레이드,화려한 모형 소각 퍼레이드,https://fallas.com,03/15 ~ 03/19
Palio di Siena,이탈리아,시에나,7월 8월,경마/전통,유명 중세 말경주/축제,https://www.ilpalio.org,07/02 ~ 07/16
Fête de la Musique,프랑스,전국,6월,음악,세계적 거리음악의 날,https://fetedelamusique.culture.gouv.fr,06/21
Bregenz Festival,오스트리아,브레겐츠,7월 8월,오페라/음악,호수 수상 무대의 오페라,https://bregenzerfestspiele.com,07/15 ~ 08/15 
St Patrick's Festival,아일랜드,더블린,3월,퍼레이드/전통,성패트릭 축일·거리 퍼레이드,https://stpatricksfestival.ie,03/17
Carnival of Nice,프랑스,니스,2월 3월,퍼레이드/꽃,꽃차 퍼레이드·가면행렬,https://nicecarnaval.com,02/15 ~ 03/03
Up Helly Aa,영국,셰틀랜드,1월,불/퍼레이드,바이킹 횃불축제,https://www.uphellyaa.org,01/25
Bayreuth Festival,독일,바이로이트,7월 8월,오페라,바그너 오페라 전문축제,https://www.bayreuther-festspiele.de,07/20 ~ 08/25 
Edinburgh International Festival,영국,에든버러,8월,공연/음악/오페라,예술종합제,https://www.eif.co.uk,08/09 ~ 08/24 
Sónar Festival,스페인,바르셀로나,6월,음악(EDM/테크),일렉트로닉·창조 기술축제,https://sonar.es,06/17 ~ 06/21
Rock en Seine,프랑스,파리,8월,음악,프랑스 대표 락/팝 음악제,https://www.rockenseine.com,08/23 ~ 08/25 
Samhain Fire Festival,아일랜드,더블린,10월,불/전통,켈트 불축제·할로윈 유래,https://samhainfestival.com,10/31 
King’s Day,네덜란드,전국,4월,퍼레이드/놀이,주황색 거리파티,https://www.holland.com,04/27
Fiesta del Pilar,스페인,사라고사,10월,전통,피에스타 퍼레이드·무용,https://www.zaragoza.es,10/10 ~ 10/14 
Zürich Street Parade,스위스,취리히,8월,음악/퍼레이드,유럽 최대 테크노 거리퍼레이드,https://www.streetparade.com,08/09
Valencia Feria de Julio,스페인,발렌시아,7월,꽃/전통,꽃퍼레이드·전통축제,https://www.visitvalencia.com,07/01 ~ 07/31 
Fête des Lumières,프랑스,리옹,12월,등불,환상적 프로젝션&라이트쇼,https://www.fetedeslumieres.lyon.fr,12/06 ~ 12/09 
Fiestas de San Fermín,스페인,팜플로나,7월,전통,소몰이 포함 대규모 페스티벌,https://www.pamplona.es,07/06 ~ 07/14
Festival Internacional de Benicàssim,스페인,베니카심,7월,음악,인디·락·전자 음악축제,https://fiberfib.com,07/16 ~ 07/20
WOMAD,영국,멀버리,7월,음악,월드뮤직 올나잇 페스티벌,https://womad.co.uk,07/11 ~ 07/14
World Club Dome,독일,프랑크푸르트,6월 7월,음악(EDM),거대 일렉트로닉 클럽,https://www.worldclubdome.com,06/28 ~ 07/01
Parklife,영국,맨체스터,6월,음악,UK 대표 댄스·힙합·팝,https://parklife.uk.com,06/15 ~ 06/17
Defqon.1,네덜란드,Biddinghuizen,6월,음악(하드스타일),하드댄스 세계적 페스티벌,https://www.defqon1.com,06/12 ~ 06/14
Rock Werchter,벨기에,Werchter,7월,음악,세계 최정상 록/팝 음악제,https://www.rockwerchter.be,07/05 ~ 07/08
Eurovision Song Contest,유럽,개최국순환(2025:스위스),5월,음악,유럽 최대 TV음악경연,https://eurovision.tv,05/14 ~ 05/18
Carnival of Venice,이탈리아,베니스,2월 3월,가면/퍼레이드,유명한 가면무도·행렬,https://www.carnevale.venezia.it,02/03 ~ 02/25
Bastille Day,프랑스,파리,7월,국경일/퍼레이드,프랑스혁명 기념 군사 퍼레이드,https://www.parisinfo.com,07/14
Zythos Beer Festival,벨기에,루벤,4월,음식(맥주),대규모 벨기에맥주 축제,https://www.zbf.be,04/24 ~ 04/27 
Amsterdam Pride,네덜란드,암스테르담,8월,퍼레이드/성소수자,운하 퍼레이드 및 거리축제,https://pride.amsterdam,08/02 ~ 08/10 
Keukenhof Tulip Festival,네덜란드,리세,3월 4월 5월,꽃,세계 최대 튤립 정원축제,https://keukenhof.nl,03/15 ~ 05/10
Wacken Open Air,독일,와켄,8월,음악(메탈),세계 최대 메탈음악제,https://www.wacken.com,08/01 ~ 08/03
Fêtes de Bayonne,프랑스,바욘,7월 말,전통/퍼레이드,남프랑스 대표 민속축제,https://www.fetesdebayonne.fr,07/25 ~ 07/30 
Nice Jazz Festival,프랑스,니스,7월,음악(재즈),유럽 전통 재즈축제,https://www.nicejazzfestival.fr,07/10 ~ 07/15
Il Palio di Siena,이탈리아,시에나,7월 8월,경마/전통,중세 마을 경마경기,https://www.ilpalio.org,07/02 ~ 07/16
Battle of the Oranges,이탈리아,이브레아,2월,퍼레이드/음식,오렌지 던지기 전투축제,https://www.storicocarnevaleivrea.it,02/12 ~ 02/15
Sanremo Music Festival,이탈리아,산레모,2월,음악,이탈리아 대중가요 본선제,https://www.rai.it,02/06 ~ 02/10
Brussels Flower Carpet,벨기에,브뤼셀,8월,꽃/예술,그랑플라스 대형 꽃카펫 만들기,https://www.flowercarpet.be,08/14 ~ 08/17 
Fiestas de San Juan,스페인,알리칸테,6월,불/전통,중세 불 축제(소각 의식),https://www.hoguerasdealicante.com,06/23 ~ 06/30
Les Rencontres Trans Musicales,프랑스,렌느,12월,음악,혁신/신인음악 콘서트,https://www.lestrans.com,12/04 ~ 12/13 
Festival d’Avignon,프랑스,아비뇽,7월,연극/공연,유럽최고 연극제,https://festival-avignon.com,07/04 ~ 07/27
Christmas Markets,독일,뉘른베르크/전국,11월 12월,시장/크리스마스,유럽 겨울 대표축제,https://www.christkindlesmarkt.de,11/29 ~ 12/24 
Carnaval de Cádiz,스페인,카디스,2월 3월,퍼레이드/음악,스페인 남부 전통 카니발,https://www.cadiz.es,02/10 ~ 03/01
Bloemencorso Zundert,네덜란드,준데르트,9월,꽃/퍼레이드,대규모 꽃차 퍼레이드,https://www.corso-zundert.nl,09/14 ~ 09/18 
Feria de Abril,스페인,세비야,4월 5월,춤/음식,플라멩코·안달루시아 음식,https://www.visitasevilla.es,04/20 ~ 04/27
Copenhagen Jazz Festival,덴마크,코펜하겐,7월,음악(재즈),유럽 대표 재즈축제,https://jazz.dk,07/01 ~ 07/11 
Fiesta de la Mercè,스페인,바르셀로나,9월,전통/공연/불,인간탑 캐스텔+불꽃 퍼레이드,https://www.lamerce.barcelona,09/21 ~ 09/24 
Carnevale di Viareggio,이탈리아,비아레조,2월 3월,퍼레이드/가면,조형물 대형 퍼레이드,https://viareggio.ilcarnevale.com,02/15 ~ 03/05
Love Parade,독일,베를린,7월,음악/퍼레이드,일렉트로닉&테크노 거리파티,https://www.rave-the-planet.com,07/12
